site_name,avulsion_year,p95_zscore,p95_mean,mean_zscore,med_zscore,av_type,site_lat,site_lon,site_area
H001,2008,0.17187135581013321,231.48979982571424,0.387412931209539,0.7121241806993106,fan,26.5955,87.0109,Asia
H002,2000,0.6314543080168359,113.43485092638883,0.7520328883398173,0.6126561689473266,fan,28.0239,95.439,Asia
H006,1997,0.46542235035367385,150.07076902222212,0.13764330225370378,-0.13645274734780138,fan,26.4924,96.7136,Asia
H007,2010,0.5211934166702147,165.33546462285707,0.7492398048305827,0.9076298927225099,fan,26.8274,88.9309,Asia
H009,1994,2.3150906705736873,87.32507880333328,1.9286976240670757,0.9773279305505025,fan,27.4208,94.2478,Asia
H011,2001,0.42394007328537137,81.0471781428571,1.722387124842074,2.032893013167919,fan,26.7187,89.7586,Asia
H013,1990,-0.7252499433989267,118.50015826249995,-0.47944636987074424,0.36122632176680536,fan,27.6664,94.8595,Asia
H027,1992,-0.32991714770807823,165.33546462285707,-0.11565763501962877,-0.5213260742538682,fan,26.8423,88.9466,Asia
JA.4.Kosi.2008.2008,2008,0.17187135581013321,231.48979982571424,0.387412931209539,0.7121241806993106,fan,26.600541,87.010028,Asia
JA.8.India.2004.2004,2004,1.057107585022422,86.86080520735291,0.6681266354920408,0.21010079299434586,fan,26.783104,90.956522,Asia
KAZ.014.2011,2011,0.9635377127239001,173.94944609729723,0.4424966473924145,0.1257497496731883,fan,46.104023,60.864246,Central Asia
RUS.002.1988,1988,1.21620167583452,60.16941697916666,0.6150468195413333,0.4239962182521229,delta,50.461424,93.107421,Asia
RUS.002.1996,1996,-0.504839069469407,60.16941697916666,-0.6338147544272146,-0.44350181646604714,delta,50.481243,93.077127,Asia
AFR0211.1998,1998,0.5055211595834787,338.38267405999994,0.44561998400646613,-0.5170372781904682,delta,-12.45042,13.48999,Africa
BETSIBOKA.2004,2004,0.22227645195502627,332.347307132857,0.1886544856383435,-0.11203966368972763,fan,-16.79922,46.93067,Tropical Island
FIHERENANA.2001,2001,0.0015338925450387566,524.0184319999998,-0.5969710893323499,-0.7125183274583158,delta,-23.30676,43.65592,Tropical Island
JA.34.Morocco.2001.2001,2001,-0.5486099296449174,85.7520550723684,-0.4609138556556772,-0.06484432495520033,delta,35.314136,-4.973272,Africa
JA.38.Madagascar.1994.1994,1994,-0.34512193719982803,441.0779870151515,-0.686970365592889,-1.0205043248646926,delta,-20.48389,44.163135,Tropical Island
KEN.001.1989,1989,-0.6294350464051687,600.6828744565788,-0.3972624661482485,0.5463336056838295,delta,4.5685778,36.032135,Africa
MAHAJAMBA.2004,2004,1.9106718213209108,248.08801817647048,0.7186822161616515,-0.502245044726352,fan,-16.4197,47.397163,Tropical Island
MALAWI1.2014,2014,0.6188829468353454,143.77308836486483,0.21234586142085352,-0.17058053331946257,fan,-13.88624,34.576099,Africa
MANAMBOLO.2004,2004,-0.35215497919976246,369.569180985294,-0.42323224488475114,-0.026333188071767454,delta,-19.1855,44.428446,Tropical Island
SAMBAO.2004,2004,-0.39054275760153007,222.7225989411764,-1.0626030555939379,-0.7870359828032133,delta,-16.59976,44.621719,Tropical Island
G1,2015,-0.44287346833721974,530.3742966285712,-0.7482329365700608,-0.5370753613246136,fan,-5.726,145.527,Tropical Island
G11,2008,-0.06799554862197339,690.313826,-0.1517993907215358,0.28180396232524607,fan,-6.5762,146.6991,Tropical Island
G2,2013,1.0141170599193234,536.9649482057142,0.6226529459591013,0.6625359553402914,fan,-5.1578,144.7887,Tropical Island
G21,1995,0.4648577329501555,447.7596438703703,1.8467647986310114,1.9586443102137,fan,-4.7231,139.3009,Tropical Island
JA.40.NewGuinea.Madang.1989.1989,1989,0.08769405342802125,54.33290711406249,-0.002866971930480798,-0.2324417922655725,delta,-5.509766,145.89913,Tropical Island
JAVA3.1992,1992,0.30082266101794763,162.23024121515147,0.5024885681926339,0.5959568146563778,delta,-6.854915,110.17566,Tropical Island
PI0019.1989,1989,2.495683198368682,135.59601586060603,0.8805789278090058,-0.11341789233563462,delta,1.885402,98.575117,Tropical Island
PI0801.1.2007,2007,-0.5742049282944538,95.66748157058821,-0.5171294034117649,-0.5281001837627777,delta,12.744353,120.81316,Tropical Island
PNG.010.2011,2011,-0.4271625537433916,201.80184670999992,0.3000686408639732,0.788562160426168,fan,-6.470433,146.55624,Tropical Island
SUMA2.2005,2005,1.7611617238868387,136.6913462340909,1.126543500202658,0.38679347263566777,delta,5.2637288,96.854628,Tropical Island
A002,1987,-1.4200229486237086,201.95644137999994,-1.59025845200158,-1.3337023998316646,fan,4.0451,-73.7608,South America
