site_name,avulsion_year,z_p95_q,zlog_p95_q,z_mean_q,zlog_mean_q,av_type,site_lat,site_lon,site_area
H001,2008,0.14503644256708387,0.3674635430410717,0.6580713191787598,0.7381301453037317,fan,26.5955,87.0109,Asia
H002,2000,0.6123967596463705,0.9644070914625774,0.9699075894806138,1.1883396900280727,fan,28.0239,95.439,Asia
H006,1997,0.665260967467555,0.8140392347393232,0.5478984193035432,0.758354418521036,fan,26.4924,96.7136,Asia
H007,2010,0.8937679751321393,0.8056129303452534,1.1008337436347557,0.9866871829033542,fan,26.8274,88.9309,Asia
H009,1994,3.6002273359329706,2.2007917699727084,3.2732138242706417,2.490542133651795,fan,27.4208,94.2478,Asia
H011,2001,0.4404166672571366,0.6265142570885859,1.9880524174367784,1.6145818964408662,fan,26.7187,89.7586,Asia
H013,1990,-0.6230462040216594,-0.49423766805611524,-0.4484172646524774,-0.361257754264795,fan,27.6664,94.8595,Asia
H027,1992,-0.03680875924737578,0.2017552712282727,0.4768109411373854,0.5689563140496694,fan,26.8423,88.9466,Asia
JA.4.Kosi.2008.2008,2008,0.14503644256708387,0.3674635430410717,0.6580713191787598,0.7381301453037317,fan,26.600541,87.010028,Asia
JA.8.India.2004.2004,2004,1.1391897426441029,1.1960335496570793,1.4421735208991397,1.3404198510512353,fan,26.783104,90.956522,Asia
KAZ.014.2011,2011,1.1055479272624535,0.8645734593720165,1.0045969624163011,0.9684883165972578,fan,46.104023,60.864246,Central Asia
RUS.002.1988,1988,1.334603170637237,1.2442025457883745,0.7633763953441414,0.9410614928244164,delta,50.461424,93.107421,Asia
RUS.002.1996,1996,-0.5044400221311831,-0.2937749391097618,-0.3282012439600453,-0.10919853532512092,delta,50.481243,93.077127,Asia
AFR0211.1998,1998,0.6073996157923386,0.7181185934565446,1.432314978947846,1.2856470531295563,delta,-12.45042,13.48999,Africa
BETSIBOKA.2004,2004,0.7263106687016023,0.7570670916234205,1.8306125625441345,1.4406204059053063,fan,-16.79922,46.93067,Tropical Island
FIHERENANA.2001,2001,0.25984878817102736,0.385851566494096,-0.5866007587075907,-0.5240765368554537,delta,-23.30676,43.65592,Tropical Island
JA.34.Morocco.2001.2001,2001,-0.524991882964072,-0.6678250039121233,-0.30226724953325484,-0.2826149395434716,delta,35.314136,-4.973272,Africa
JA.38.Madagascar.1994.1994,1994,-0.3401563520132606,-0.10029788161970449,-0.5906409173603241,-0.40737948216625725,delta,-20.48389,44.163135,Tropical Island
KEN.001.1989,1989,-0.5506378823951278,-0.4633970080067528,-0.3345687711219511,-0.226737366219895,delta,4.5685778,36.032135,Africa
MAHAJAMBA.2004,2004,2.5859017893255283,1.6493331912901081,3.8869765060504258,2.647990812462457,fan,-16.4197,47.397163,Tropical Island
MALAWI1.2014,2014,1.1096092858978674,1.0887492034896094,0.4373859647727022,0.757147709302108,fan,-13.88624,34.576099,Africa
MANAMBOLO.2004,2004,0.0759757822786025,0.2187379947386726,0.85054029490055,0.9200733353008579,delta,-19.1855,44.428446,Tropical Island
SAMBAO.2004,2004,-0.297817231752873,-0.09441305436401536,-0.11850161962833504,0.03512735561513151,delta,-16.59976,44.621719,Tropical Island
G1,2015,-0.047541074956593043,0.1497116320656719,-0.3280459952900828,-0.164748608768896,fan,-5.726,145.527,Tropical Island
G11,2008,-0.03312981835083126,0.12207308702687467,0.6875410216970277,0.761081754843833,fan,-6.5762,146.6991,Tropical Island
G2,2013,1.0878180012338066,0.932869859464179,1.317011469079422,1.1467611699025162,fan,-5.1578,144.7887,Tropical Island
G21,1995,0.4648577329501555,0.5528968697387954,1.8467647986310114,1.1868813295672196,fan,-4.7231,139.3009,Tropical Island
JA.40.NewGuinea.Madang.1989.1989,1989,0.08769405342802125,0.43770418591422916,-0.002866971930480798,0.28943603875341395,delta,-5.509766,145.89913,Tropical Island
JAVA3.1992,1992,0.41559775117871195,0.7568978797938084,2.4255813373697483,1.6241898157880736,delta,-6.854915,110.17566,Tropical Island
PI0019.1989,1989,2.9391686866459414,1.9040779333103353,5.270110281046303,3.6932380344696094,delta,1.885402,98.575117,Tropical Island
PI0801.1.2007,2007,-0.5676075183651407,-0.4663874536439076,-0.4663328538026421,-0.4960680407584051,delta,12.744353,120.81316,Tropical Island
PNG.010.2011,2011,-0.3088229862833767,-0.0912811498133601,0.3811875463099151,0.53935357386411,fan,-6.470433,146.55624,Tropical Island
SUMA2.2005,2005,2.0607530266804748,1.510785816774341,1.7343300854220407,1.4271725576280037,delta,5.2637288,96.854628,Tropical Island
A002,1987,-1.4200229486237086,-1.6142326988533224,-1.5902584520015801,-1.8100926371736819,fan,4.0451,-73.7608,South America
A004,2002,0.32402020442438045,0.5274187712978736,0.25760345312737815,0.47074494795398564,fan,3.9769,-73.3943,South America
A012,2006,0.2810245974166655,0.3694428843979691,0.038263016550604566,0.18562744612294463,fan,7.4123,-68.5536,South America
A014,2005,-0.5853965135695045,-0.1829055156109539,-0.5565738370174586,-0.23125495999071166,fan,7.0341,-72.0334,South America
A018,1997,-0.4197174892548996,-0.13120789556296394,0.6095563614287438,0.7163261797260865,fan,3.7613,-73.8341,South America
A024,1998,-0.5518945312440519,-0.38697652205712624,-0.5241220789029911,-0.40008210459865756,fan,-16.0667,-66.1576,South America
A027,1991,-0.8006683606992597,-0.7793537704418937,-0.712464990809259,-0.6304874476938258,fan,-17.3709,-64.2165,South America
A030,2002,1.8288174460532796,1.4366974720957013,0.7747404045311928,0.8836809647572296,fan,-17.3597,-64.2268,South America
A035,1994,-0.42676442752241156,-0.010574516724859144,-0.05189821692688855,0.23577209823734213,fan,-16.2747,-65.2037,South America
A042,1995,0.83004494264456,0.7228625567463962,0.670997068137729,0.737003631175634,fan,-16.9553,-65.3332,South America
A045,1992,1.2619439518439803,1.109499970138935,1.4603149933768336,1.1540172670925335,fan,-17.0743,-62.9938,South America
A047,2002,1.409307316318348,1.0413778773898519,1.5663270643604843,1.2584039390321717,fan,7.5564,-72.0621,South America
A049,1992,0.9714298754006352,0.7488254655133185,1.009910185643188,0.6943818295457619,fan,-16.969,-62.998,South America
A050,1987,-0.211148444760997,0.11393100283197222,0.32738589900510395,0.5023402326379183,fan,-17.3124,-64.2018,South America
A051,1998,-1.4039376970182604,-1.6003537643363062,-1.027602950297019,-1.0533992705076134,fan,7.5577,-72.0744,South America
ARG.001.2001,2001,0.9893383304265482,0.8467756677551351,0.6653959917538267,0.7866221493127756,delta,-27.42641,-65.11226,South America
B1,1994,2.1018144506715775,1.667028482615035,1.8619230979443984,1.4067433345400788,fan,-17.0815,-62.9795,South America
B10,1987,-0.6085824709635761,-0.20140666449554065,-0.0410928869535308,0.2443981947669322,intra-lobe,-16.2728,-65.2038,South America
B11,2011,-0.07649327168064284,0.21163242532601148,-0.3506576537214236,-0.17609541736274753,intra-lobe,-16.0662,-66.1572,South America
B3,2011,0.11429669390066392,0.4658988776226761,0.10026010859355976,0.33273925265167187,fan,-17.3714,-64.2165,South America
B6,2007,-0.47811427634395953,-0.13235493336085885,-0.7088830919090022,-0.4980207336545608,fan,-16.9729,-65.3985,South America
R48,2002,1.7968279742567297,1.1741894005533906,2.4657795591058127,1.5706019192624543,retrogradational,-11.864,-71.385,South America
R49,2000,0.5369497588017811,0.5397607488791166,0.4961758080175189,0.600454378231809,retrogradational,-12.2393,-70.9148,South America
SA0505.1999,1999,1.1662370442845664,0.9446401101577281,1.0123594365918585,1.1041554423305204,delta,-3.543468,-80.47866,South America
V13,2000,0.34542612934779743,0.5036794929875532,-0.042677506126370154,0.22959454057028436,fan,7.5596,-72.0799,South America
V4,2009,-0.35368007935515533,-0.013511216938517813,0.5826690118268404,0.7654641354275542,fan,3.504,-73.8759,South America
V5.2,1998,1.6876253959972776,1.5971758151302966,1.7312529215926562,1.8227021490666386,fan,6.1934,-71.778,South America
V6,2012,0.5202722732789694,0.8404499826421488,0.27954768597458673,0.5652108895545093,fan,6.1934,-71.778,South America
V9,2011,2.026239308282402,1.267170913565384,1.36442892685717,1.1271859045583408,fan,7.03724,-72.04633,South America
